Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA
Date,,,,,,,,,,,,,,,
2015-01-02,62.573116302490234,172.59286499023438,14.620667457580566,62.60340041493172,173.81109879252688,14.883333206176758,62.39898409997766,171.54267227773067,14.21733283996582,62.40655657211399,173.3910217075254,14.857999801635742,2218800,121465900,71466000
2015-01-05,62.75480270385742,169.47589111328125,14.005999565124512,62.777514339639716,171.70229441654155,14.433333396911621,62.61095464243267,169.1650381893597,13.810667037963867,62.64123874884328,171.53426615549571,14.303333282470703,5820100,169632600,80527500
2015-01-06,62.93650817871094,167.87962341308594,14.085332870483398,63.125779531586275,170.3160655379834,14.279999732971191,62.860800792781454,167.0730697163054,13.61400032043457,62.860800792781454,169.78676427385443,14.003999710083008,3887600,209151400,93928500
2015-01-07,62.97434997558594,169.97161865234375,14.063332557678223,63.05005734374201,170.31608500073534,14.3186674118042,62.87593097459323,168.77020412663234,13.985333442687988,62.94406587310312,169.2238818193465,14.223333358764648,2433400,125346700,44526000
2015-01-08,62.87600326538086,172.98777770996094,14.041333198547363,62.92142658327892,173.20622604833713,14.25333309173584,62.81543499077771,171.38309262430576,14.000666618347168,62.92142658327892,171.39988648130534,14.187333106994629,1873400,147217800,51637500
2015-01-09,62.98192596435547,171.6015167236328,13.77733325958252,63.0576333367417,173.42465002634282,13.998666763305664,62.83807791355004,170.97979792309047,13.663999557495117,62.84565038361934,173.40784335072348,13.928000450134277,1646100,158567300,70024500
2015-01-12,63.06529235839844,170.25726318359375,13.480667114257812,63.088004023673854,171.89557431876867,13.631333351135254,62.989579106000136,169.64395413622213,13.283332824707031,63.02743573219929,171.73594295115782,13.536666870117188,4397900,144396100,89254500
2015-01-13,63.125831604003906,169.77842712402344,13.616666793823242,63.19397235082196,172.6349473672239,13.840666770935059,63.01227331948726,168.45937837271796,13.394000053405762,63.07283581252678,171.4923367059956,13.554667472839355,2223400,214553300,67159500
2015-01-14,63.26966094970703,168.7533721923828,12.845999717712402,63.38322497649839,168.95501381437353,13.013333320617676,63.254521774984475,166.82942472569684,12.333333015441895,63.32265672539548,167.736779975316,12.388667106628418,2481200,192991100,173278500
2015-01-15,63.54975509643555,167.20748901367188,12.791333198547363,63.564894264086966,169.71954181506166,13.050000190734863,63.25449223035191,167.08986794089512,12.666666984558105,63.25449223035191,169.40029194308786,12.965999603271484,4214500,176613900,78247500
2015-01-16,63.360496520996094,169.40028381347656,12.871333122253418,63.48162721496757,169.5599151516704,12.965999603271484,63.277216641844845,166.8126075168364,12.643333435058594,63.45134309744849,166.99744245372034,12.713333129882812,3631300,211879600,54048000
2015-01-20,63.292335510253906,169.7615966796875,12.795332908630371,63.46646768610594,170.316101662603,12.941332817077637,63.26962387342602,168.17370537023962,12.469332695007324,63.3680428917145,170.04724610007227,12.924667358398438,3029500,130991100,67548000
2015-01-21,63.17125701904297,170.6185302734375,13.104666709899902,63.443808438243856,171.1058212872163,13.245332717895508,63.16368454181302,168.82060065281627,12.633999824523926,63.43623596101391,169.29108499170977,12.636667251586914,2473900,122942700,62295000
2015-01-22,63.18635559082031,173.15576171875,13.441332817077637,63.315058740480005,173.29017662909783,13.549332618713379,63.11822066786071,169.98837723476777,13.013333320617676,63.315058740480005,171.38303608996497,13.133333206176758,2157400,174356000,61753500
2015-01-23,63.39079666137695,172.20643615722656,13.419333457946777,63.42107501044446,173.15581466408364,13.566666603088379,63.299944285855595,172.0720083860412,13.222000122070312,63.32265593570936,172.8953560500103,13.352666854858398,6255000,117516800,51579000
2015-01-26,63.315086364746094,172.60968017578125,13.770000457763672,63.405938744434984,172.70209765182875,13.907999992370605,63.27723553862229,171.26544112932362,13.403332710266113,63.39079956920677,171.98797426394884,13.45533275604248,7810500,92009700,48517500
2015-01-27,63.352928161621094,170.33285522460938,13.732000350952148,63.511915456841976,171.49225922219964,13.868666648864746,63.315071568237705,169.49270108329782,13.553333282470703,63.489203811254015,170.52608708758527,13.628000259399414,1154100,134044600,41715000
2015-01-28,63.5800666809082,168.14846801757812,13.291333198547363,63.66334080312938,171.635102963637,13.758000373840332,63.30751533658356,167.95523613312614,13.227999687194824,63.32265451077665,171.53428855779006,13.740667343139648,1394600,168514300,47244000
